The Blues And The Beat,Henry Mancini,1960,https://www.discogs.com/master/378579,Jazz|Pop,Easy Listening
Some Skunk Funk - Live At Leverkusener Jazztage,"Randy Brecker, Michael Brecker, Jim Beard, Will Lee, Peter Erskine, Marcio Doctor, WDR Big Band Köln, Vince Mendoza",2005,https://www.discogs.com/master/546836,Jazz,Big Band|Contemporary Jazz|Jazz-Funk|Jazz-Rock
A Tale Of God's Will (A Requiem For Katrina),Terence Blanchard,2007,https://www.discogs.com/master/274306,Jazz,
Monday Night Live At The Village Vanguard,The Vanguard Jazz Orchestra,2008,https://www.discogs.com/release/4672455,Jazz,Big Band|Contemporary Jazz
Book One,"Irvin Mayfield, The New Orleans Jazz Orchestra",2009,https://www.discogs.com/release/2398023,Jazz,Big Band|Dixieland|Easy Listening
Live At Jazz Standard,Mingus Big Band,2010,https://www.discogs.com/release/4978226,Jazz,Big Band
The Good Feeling,Christian McBride Big Band,2011,https://www.discogs.com/master/614140,Jazz,Big Band
Dear Diz (Every Day I Think Of You),Arturo Sandoval,2012,https://www.discogs.com/release/3850829,Jazz,
Life In The Bubble,Gordon Goodwin's Big Phat Band,2014,https://www.discogs.com/master/934166,Jazz,Big Band
Night In Calisia,"Randy Brecker, Włodek Pawlik Trio, Kalisz Philharmonic Orchestra, Adam Klocek",2014,https://www.discogs.com/master/930425,Jazz,
The Thompson Fields,Maria Schneider Orchestra,2015,https://www.discogs.com/release/7057874,Jazz,Big Band|Contemporary Jazz
Presidential Suite: Eight Variations On Freedom,Ted Nash Big Band,2016,https://www.discogs.com/release/9997151,Jazz,
Bringin' It,Christian McBride Big Band,2017,https://www.discogs.com/master/1250177,Jazz,Big Band
"American Dreamers - Voices Of Hope,  Music Of Freedom","John Daversa, DACA Artists",2018,https://www.discogs.com/release/13227151,Jazz,
